Info,Info,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8
Number,Time,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ
19,0.15833333333333333,-816.4965809277261,0.0,1075.5162691896267,-5.551115123125783e-14,0.0,498.166000000001,408.248290463863,707.1067811865476,1075.5162691896269,-408.248290463863,707.1067811865476,1652.8665383792525,-408.248290463863,-707.1067811865476,1652.8665383792522,408.248290463863,-707.1067811865476,1075.5162691896267,816.4965809277261,0.0,1652.8665383792525,5.551115123125783e-14,0.0,2230.216807568878
20,0.16666666666666666,-816.4965809277261,0.0,1063.351869189627,-5.551115123125783e-14,0.0,486.00160000000136,408.248290463863,707.1067811865476,1063.3518691896272,-408.248290463863,707.1067811865476,1640.7021383792528,-408.248290463863,-707.1067811865476,1640.7021383792526,408.248290463863,-707.1067811865476,1063.351869189627,816.4965809277261,0.0,1640.7021383792528,5.551115123125783e-14,0.0,2218.052407568878
21,0.175,-816.4965809277261,0.0,1050.5596291896272,-5.551115123125783e-14,0.0,473.2093600000016,408.248290463863,707.1067811865476,1050.5596291896272,-408.248290463863,707.1067811865476,1627.909898379253,-408.248290463863,-707.1067811865476,1627.909898379253,408.248290463863,-707.1067811865476,1050.5596291896272,816.4965809277261,0.0,1627.909898379253,5.551115123125783e-14,0.0,2205.260167568879
22,0.18333333333333332,-816.4965809277261,0.0,1037.139549189627,-5.551115123125783e-14,0.0,459.7892800000012,408.248290463863,707.1067811865476,1037.139549189627,-408.248290463863,707.1067811865476,1614.4898183792527,-408.248290463863,-707.1067811865476,1614.4898183792527,408.248290463863,-707.1067811865476,1037.139549189627,816.4965809277261,0.0,1614.4898183792527,5.551115123125783e-14,0.0,2191.8400875688785
23,0.19166666666666665,-816.4965809277261,0.0,1023.0916291896266,-5.551115123125783e-14,0.0,445.74136000000084,408.248290463863,707.1067811865476,1023.0916291896266,-408.248290463863,707.1067811865476,1600.4418983792523,-408.248290463863,-707.1067811865476,1600.4418983792523,408.248290463863,-707.1067811865476,1023.0916291896266,816.4965809277261,0.0,1600.4418983792523,5.551115123125783e-14,0.0,2177.792167568878
24,0.19999999999999998,-816.4965809277261,0.0,1008.4158691896264,-5.551115123125783e-14,0.0,431.0656000000006,408.248290463863,707.1067811865476,1008.4158691896264,-408.248290463863,707.1067811865476,1585.766138379252,-408.248290463863,-707.1067811865476,1585.766138379252,408.248290463863,-707.1067811865476,1008.4158691896264,816.4965809277261,0.0,1585.766138379252,5.551115123125783e-14,0.0,2163.116407568878
25,0.20833333333333331,-816.4965809277261,0.0,993.1122691896261,-5.551115123125783e-14,0.0,415.7620000000004,408.248290463863,707.1067811865476,993.1122691896262,-408.248290463863,707.1067811865476,1570.4625383792518,-408.248290463863,-707.1067811865476,1570.4625383792518,408.248290463863,-707.1067811865476,993.1122691896261,816.4965809277261,0.0,1570.4625383792518,5.551115123125783e-14,0.0,2147.812807568878
26,0.21666666666666665,-816.4965809277261,0.0,977.180829189626,-5.551115123125783e-14,0.0,399.8305600000003,408.248290463863,707.1067811865476,977.1808291896261,-408.248290463863,707.1067811865476,1554.5310983792517,-408.248290463863,-707.1067811865476,1554.5310983792517,408.248290463863,-707.1067811865476,977.180829189626,816.4965809277261,0.0,1554.5310983792517,5.551115123125783e-14,0.0,2131.8813675688775
27,0.22499999999999998,-816.4965809277261,0.0,960.621549189626,-5.551115123125783e-14,0.0,383.2712800000002,408.248290463863,707.1067811865476,960.6215491896261,-408.248290463863,707.1067811865476,1537.9718183792518,-408.248290463863,-707.1067811865476,1537.9718183792518,408.248290463863,-707.1067811865476,960.621549189626,816.4965809277261,0.0,1537.9718183792518,5.551115123125783e-14,0.0,2115.3220875688776
28,0.2333333333333333,-816.4965809277261,0.0,943.4344291896259,-5.551115123125783e-14,0.0,366.0841600000002,408.248290463863,707.1067811865476,943.434429189626,-408.248290463863,707.1067811865476,1520.7846983792517,-408.248290463863,-707.1067811865476,1520.7846983792517,408.248290463863,-707.1067811865476,943.4344291896259,816.4965809277261,0.0,1520.7846983792517,5.551115123125783e-14,0.0,2098.1349675688775
29,0.24166666666666664,-816.4965809277261,0.0,925.619469189626,-5.551115123125783e-14,0.0,348.2692000000003,408.248290463863,707.1067811865476,925.6194691896261,-408.248290463863,707.1067811865476,1502.9697383792518,-408.248290463863,-707.1067811865476,1502.9697383792518,408.248290463863,-707.1067811865476,925.619469189626,816.4965809277261,0.0,1502.9697383792518,5.551115123125783e-14,0.0,2080.3200075688774
30,0.24999999999999997,-816.4965809277261,0.0,907.1766691896262,-5.551115123125783e-14,0.0,329.82640000000043,408.248290463863,707.1067811865476,907.1766691896263,-408.248290463863,707.1067811865476,1484.5269383792518,-408.248290463863,-707.1067811865476,1484.5269383792518,408.248290463863,-707.1067811865476,907.1766691896262,816.4965809277261,0.0,1484.5269383792518,5.551115123125783e-14,0.0,2061.8772075688776
31,0.2583333333333333,-816.4965809277261,0.0,888.1060291896264,-5.551115123125783e-14,0.0,310.7557600000006,408.248290463863,707.1067811865476,888.1060291896265,-408.248290463863,707.1067811865476,1465.456298379252,-408.248290463863,-707.1067811865476,1465.456298379252,408.248290463863,-707.1067811865476,888.1060291896264,816.4965809277261,0.0,1465.456298379252,5.551115123125783e-14,0.0,2042.8065675688779
32,0.26666666666666666,-816.4965809277261,0.0,868.4075491896266,-5.551115123125783e-14,0.0,291.05728000000084,408.248290463863,707.1067811865476,868.4075491896267,-408.248290463863,707.1067811865476,1445.7578183792523,-408.248290463863,-707.1067811865476,1445.7578183792523,408.248290463863,-707.1067811865476,868.4075491896266,816.4965809277261,0.0,1445.7578183792523,5.551115123125783e-14,0.0,2023.108087568878
33,0.275,-816.4965809277261,0.0,848.0812291896269,-5.551115123125783e-14,0.0,270.7309600000012,408.248290463863,707.1067811865476,848.081229189627,-408.248290463863,707.1067811865476,1425.4314983792526,-408.248290463863,-707.1067811865476,1425.4314983792526,408.248290463863,-707.1067811865476,848.0812291896269,816.4965809277261,0.0,1425.4314983792526,5.551115123125783e-14,0.0,2002.7817675688784
34,0.2833333333333334,-816.4965809277261,0.0,827.127069189627,-5.551115123125783e-14,0.0,249.77680000000134,408.248290463863,707.1067811865476,827.1270691896272,-408.248290463863,707.1067811865476,1404.4773383792528,-408.248290463863,-707.1067811865476,1404.4773383792526,408.248290463863,-707.1067811865476,827.127069189627,816.4965809277261,0.0,1404.4773383792528,5.551115123125783e-14,0.0,1981.8276075688786
